Hari,Tanggal,Jam,Modal,Pembelian,Barang,Transaksi,Jumlah,Penjualan,Keuntungan
Kamis,7,4,700.000,371,susu,318,519,135,130.000
Rabu,28,10,400.000,103,beras,336,92,115,150.000
Jumat,3,5,400.000,467,gula,345,486,252,100.000
Senin,15,2,700.000,258,susu,359,657,172,200.000
Rabu,10,10,400.000,315,beras,362,903,261,100.000
Selasa,20,9,500.000,166,gula,359,112,217,200.000
Kamis,5,8,500.000,444,susu,327,428,329,100.000
Jumat,27,9,500.000,266,susu,304,461,404,150.000
Minggu,21,5,400.000,242,snack,346,247,183,200.000
Kamis,14,8,1.000.000,165,beras,362,253,372,150.000
Jumat,13,4,700.000,236,beras,318,228,220,150.000
Selasa,30,9,700.000,298,snack,385,273,121,150.000
Minggu,20,9,1.000.000,292,telur,380,428,102,100.000
Minggu,21,6,600.000,215,telur,327,731,371,100.000
Selasa,14,10,1.000.000,495,beras,321,546,439,200.000
Jumat,30,7,700.000,150,beras,375,466,464,150.000
Minggu,20,9,400.000,492,gula,337,745,456,150.000
Jumat,5,2,600.000,170,telur,316,350,222,100.000
Kamis,30,7,700.000,276,susu,379,938,173,150.000
Senin,12,4,1.000.000,263,gula,339,226,303,150.000
Kamis,28,1,700.000,300,beras,307,907,433,150.000
Rabu,17,11,1.000.000,499,gula,387,197,256,150.000
Kamis,16,11,700.000,120,snack,390,839,275,130.000
Jumat,6,6,400.000,387,telur,343,606,446,150.000
Selasa,11,3,500.000,335,gula,315,582,318,130.000
Kamis,23,11,600.000,427,gula,359,397,408,100.000
Sabtu,7,10,1.000.000,282,snack,336,339,126,200.000
Rabu,11,9,500.000,192,telur,380,941,100,200.000
Jumat,9,0,700.000,264,telur,345,98,330,130.000
Selasa,18,9,600.000,155,susu,351,41,367,100.000
Sabtu,8,10,500.000,179,gula,324,437,132,130.000
Kamis,5,11,600.000,154,telur,352,210,118,150.000
Rabu,27,8,1.000.000,387,susu,388,461,113,100.000
Selasa,14,0,400.000,121,gula,314,632,285,200.000
Rabu,12,8,1.000.000,130,telur,361,38,212,150.000
Jumat,20,3,400.000,430,susu,374,876,159,200.000
Sabtu,16,3,400.000,297,snack,323,587,245,200.000
Selasa,16,9,700.000,219,telur,333,386,232,100.000
Minggu,5,6,500.000,464,susu,335,512,461,130.000
Senin,16,9,400.000,350,snack,315,627,305,150.000
Senin,26,1,1.000.000,384,telur,382,279,227,100.000
Selasa,29,10,600.000,434,snack,353,345,216,200.000
Selasa,3,9,500.000,299,susu,375,501,420,130.000
Rabu,20,7,500.000,478,telur,362,344,381,130.000
Rabu,9,8,600.000,378,telur,317,569,198,100.000
Rabu,11,2,600.000,418,gula,354,297,298,100.000
Kamis,16,8,500.000,266,beras,314,768,447,150.000
Jumat,6,5,400.000,480,telur,341,548,264,150.000
Sabtu,20,3,1.000.000,294,gula,377,785,250,150.000
Minggu,2,4,1.000.000,248,beras,310,925,102,100.000
Jumat,4,3,700.000,406,telur,331,765,297,150.000
Kamis,21,8,600.000,460,telur,307,638,241,200.000
Sabtu,20,4,500.000,113,snack,384,790,153,150.000
Rabu,15,2,1.000.000,432,telur,358,535,111,100.000
Senin,6,1,600.000,457,snack,367,357,454,150.000
Rabu,30,0,400.000,148,telur,308,448,392,150.000
Kamis,8,5,500.000,480,susu,399,602,202,130.000
Senin,19,1,1.000.000,306,beras,363,834,153,200.000
Jumat,20,9,1.000.000,287,telur,300,652,391,100.000
Sabtu,1,5,700.000,219,snack,336,610,334,200.000
Minggu,30,10,700.000,301,beras,333,264,439,200.000
Senin,21,11,500.000,249,gula,322,469,152,130.000
Senin,22,7,500.000,151,beras,333,693,149,200.000
Sabtu,15,9,500.000,355,telur,329,677,497,130.000
Jumat,1,11,700.000,159,susu,301,561,164,200.000
Minggu,4,10,600.000,325,gula,354,508,442,150.000
Sabtu,10,7,500.000,396,beras,342,915,282,150.000
Minggu,30,0,400.000,355,gula,352,653,401,150.000
Rabu,16,6,500.000,420,telur,357,594,381,130.000
Rabu,6,4,500.000,331,beras,393,501,214,150.000
Sabtu,22,11,600.000,487,beras,383,826,277,130.000
Jumat,13,3,700.000,100,snack,309,43,155,200.000
Rabu,2,0,400.000,413,gula,319,429,200,130.000
Jumat,25,3,500.000,257,snack,308,562,128,150.000
Minggu,28,6,600.000,438,beras,338,826,218,100.000
Senin,21,2,700.000,391,snack,389,607,326,200.000
Sabtu,24,1,600.000,439,gula,395,129,444,150.000
Rabu,28,2,700.000,379,telur,307,924,120,150.000
Rabu,4,2,500.000,403,snack,325,148,493,130.000
Selasa,11,2,500.000,434,susu,339,518,262,100.000
Jumat,9,6,400.000,224,telur,355,306,499,150.000
Jumat,5,11,600.000,452,gula,332,700,484,130.000
Selasa,28,5,500.000,371,beras,328,256,300,130.000
Sabtu,4,7,700.000,186,beras,378,347,398,100.000
Rabu,8,4,500.000,302,snack,385,494,194,100.000
Rabu,26,9,1.000.000,130,beras,361,476,423,200.000
Senin,21,2,400.000,156,gula,373,171,358,100.000
Selasa,21,11,500.000,277,telur,300,936,157,150.000
Senin,26,1,400.000,433,telur,367,223,267,150.000
Minggu,2,4,400.000,454,susu,377,290,371,200.000
Minggu,16,6,700.000,445,gula,350,125,131,200.000
Jumat,3,11,600.000,481,susu,385,115,429,130.000
Sabtu,7,6,600.000,128,telur,338,751,425,150.000
Rabu,27,4,400.000,377,gula,317,73,332,150.000
Minggu,16,8,700.000,499,susu,312,66,418,150.000
Sabtu,7,10,700.000,231,gula,370,679,133,150.000
Sabtu,17,11,400.000,429,beras,327,676,419,100.000
Kamis,11,3,700.000,421,beras,364,458,162,130.000
Sabtu,30,10,600.000,461,snack,383,371,314,130.000
Jumat,30,3,1.000.000,335,beras,318,549,212,150.000
Senin,23,4,500.000,455,beras,330,432,117,100.000
Kamis,15,11,600.000,331,beras,329,454,416,150.000
Kamis,26,3,1.000.000,173,beras,306,210,260,130.000
Kamis,21,6,600.000,163,gula,393,541,215,130.000
Rabu,20,9,1.000.000,305,beras,306,124,121,100.000
Kamis,4,7,1.000.000,123,gula,392,246,310,130.000
Jumat,28,4,500.000,466,beras,374,248,419,150.000
Jumat,4,5,700.000,322,beras,322,349,437,130.000
Senin,4,4,1.000.000,306,telur,374,916,222,130.000
Selasa,7,8,1.000.000,364,susu,372,896,225,200.000
Sabtu,6,10,500.000,429,beras,396,834,499,200.000
Selasa,3,4,400.000,124,snack,331,122,113,200.000
Senin,11,11,700.000,451,telur,356,980,158,150.000
Selasa,12,10,400.000,290,gula,364,414,230,130.000
Rabu,8,6,700.000,348,beras,375,357,379,130.000
Senin,6,9,600.000,259,snack,348,985,130,130.000
Sabtu,6,6,600.000,137,beras,314,830,246,200.000
Rabu,23,3,700.000,360,snack,392,125,129,100.000
Jumat,16,8,600.000,130,beras,378,455,289,200.000
Senin,21,3,700.000,323,susu,371,99,269,150.000
Rabu,27,9,400.000,195,beras,342,424,449,150.000
Selasa,16,8,400.000,346,snack,323,938,318,150.000
Selasa,8,6,1.000.000,335,beras,370,291,400,130.000
Rabu,5,2,600.000,428,susu,338,723,202,130.000
Selasa,2,1,500.000,368,snack,389,423,290,130.000
Minggu,13,11,600.000,273,snack,371,234,451,150.000
Sabtu,25,4,1.000.000,177,gula,319,33,175,200.000
Minggu,9,6,600.000,138,susu,392,159,434,130.000
Minggu,22,8,400.000,389,beras,309,690,421,130.000
Senin,1,1,400.000,274,susu,308,946,255,150.000
Sabtu,17,1,400.000,334,snack,311,832,320,150.000
Rabu,18,8,600.000,392,beras,312,588,169,130.000
Minggu,28,7,1.000.000,334,gula,355,677,317,200.000
Jumat,1,5,500.000,345,susu,362,610,456,100.000
Kamis,13,5,600.000,255,gula,373,776,427,150.000
Selasa,28,4,1.000.000,312,susu,383,508,163,150.000
Jumat,8,1,400.000,284,susu,354,265,180,200.000
Senin,3,7,500.000,287,beras,315,998,392,150.000
Selasa,6,5,400.000,151,beras,382,986,411,200.000
Rabu,10,6,600.000,423,telur,385,860,307,100.000
Kamis,20,8,400.000,125,beras,331,910,279,130.000
Selasa,14,5,600.000,370,telur,318,758,164,150.000
Rabu,26,2,600.000,118,susu,383,447,398,200.000
Selasa,1,1,400.000,334,beras,388,437,429,200.000
Jumat,20,8,600.000,224,telur,385,544,332,150.000
Kamis,10,10,500.000,435,telur,382,496,294,130.000
Selasa,10,6,500.000,460,beras,370,382,364,200.000
Senin,19,2,400.000,358,telur,305,861,363,100.000
Rabu,25,7,700.000,302,beras,371,784,458,200.000
Senin,25,7,500.000,395,susu,369,466,127,200.000
Rabu,30,9,600.000,127,telur,379,530,346,130.000
Minggu,1,2,500.000,265,susu,359,255,208,200.000
Sabtu,15,1,600.000,207,beras,320,772,259,150.000
Selasa,13,9,600.000,426,susu,388,434,392,200.000
Rabu,15,8,1.000.000,413,telur,366,928,118,150.000
Kamis,24,3,700.000,244,telur,386,59,358,150.000
Kamis,17,0,700.000,493,snack,326,830,325,200.000
Jumat,28,7,700.000,145,beras,364,603,109,200.000
Kamis,25,5,1.000.000,257,beras,311,982,222,130.000
Senin,5,10,700.000,326,beras,386,994,492,100.000
Sabtu,2,5,700.000,438,snack,355,93,198,150.000
Jumat,6,1,500.000,436,snack,327,394,428,100.000
Minggu,26,6,700.000,237,beras,310,493,397,200.000
Kamis,28,8,1.000.000,157,beras,388,467,140,100.000
Kamis,7,11,700.000,304,telur,360,418,185,100.000
Sabtu,20,7,700.000,386,telur,383,730,175,200.000
Senin,29,8,1.000.000,108,beras,398,648,206,200.000
Minggu,13,11,1.000.000,154,susu,369,110,429,100.000
Minggu,4,4,700.000,357,snack,354,985,107,130.000
Jumat,1,8,600.000,343,telur,384,237,333,150.000
Selasa,29,7,500.000,388,gula,306,39,348,130.000
Rabu,26,5,1.000.000,436,beras,342,883,472,130.000
Senin,30,6,500.000,307,snack,338,70,161,150.000
Kamis,17,1,400.000,187,susu,362,245,321,100.000
Senin,16,1,700.000,227,telur,320,937,237,100.000
Senin,9,6,700.000,402,snack,377,985,368,100.000
Kamis,17,9,700.000,123,susu,360,550,450,100.000
Kamis,21,1,400.000,441,susu,304,680,172,200.000
Selasa,28,10,600.000,258,gula,325,978,181,200.000
Minggu,25,10,700.000,199,gula,325,358,454,130.000
Senin,6,1,500.000,189,telur,380,923,409,150.000
Senin,4,6,1.000.000,273,snack,369,413,481,200.000
Selasa,1,2,400.000,161,telur,326,786,218,100.000
Kamis,10,5,600.000,224,susu,342,557,140,200.000
Rabu,7,4,500.000,290,beras,359,815,481,150.000
Rabu,13,6,400.000,299,susu,354,268,244,130.000
Rabu,14,3,1.000.000,422,susu,334,88,357,150.000
Minggu,12,11,700.000,228,snack,391,987,233,130.000
Selasa,15,11,400.000,122,snack,301,582,278,150.000
Selasa,25,7,500.000,261,susu,325,866,164,100.000
Kamis,29,10,1.000.000,190,snack,313,924,121,100.000
Selasa,11,10,700.000,202,telur,309,239,182,200.000
Jumat,20,1,1.000.000,146,beras,375,848,392,130.000
Rabu,18,10,600.000,474,snack,323,703,190,150.000
Kamis,13,9,600.000,289,susu,325,121,445,200.000
Kamis,29,4,400.000,118,snack,373,230,196,200.000
Jumat,8,11,700.000,279,gula,310,792,325,100.000
Rabu,27,0,1.000.000,202,telur,305,155,133,150.000
Kamis,9,10,1.000.000,195,beras,305,589,469,130.000
Minggu,22,1,1.000.000,205,snack,352,42,340,130.000
Jumat,11,1,700.000,338,snack,337,185,203,200.000
Senin,20,9,1.000.000,205,beras,310,676,459,150.000
Senin,8,3,700.000,238,gula,361,690,181,200.000
Jumat,21,7,700.000,407,telur,362,16,162,200.000
Rabu,2,0,1.000.000,259,susu,364,205,442,130.000
Minggu,22,11,600.000,360,snack,378,929,453,100.000
Jumat,16,11,600.000,185,gula,321,592,362,100.000
Selasa,30,1,700.000,456,telur,311,929,262,130.000
Selasa,22,2,500.000,193,gula,381,773,220,130.000
Selasa,6,9,600.000,200,telur,386,912,377,150.000
Senin,17,0,700.000,215,susu,358,652,352,150.000
Sabtu,5,10,1.000.000,270,telur,319,878,236,130.000
Sabtu,29,6,1.000.000,202,beras,311,253,279,150.000
Rabu,24,7,400.000,480,snack,305,656,449,130.000
Selasa,24,6,600.000,128,susu,362,870,486,150.000
Jumat,22,5,700.000,306,susu,394,566,268,130.000
Sabtu,8,2,500.000,208,susu,355,902,247,130.000
Rabu,21,9,600.000,240,telur,320,997,420,100.000
Minggu,5,5,600.000,174,snack,328,427,456,150.000
Senin,8,7,1.000.000,301,susu,309,612,175,100.000
Selasa,17,1,600.000,337,susu,300,908,461,150.000
Selasa,25,3,700.000,361,gula,387,239,161,150.000
Senin,9,9,1.000.000,153,gula,381,612,158,200.000
Minggu,29,2,1.000.000,264,snack,339,65,422,200.000
Selasa,11,7,1.000.000,342,beras,366,102,297,200.000
Rabu,11,7,700.000,157,telur,373,366,267,150.000
Sabtu,9,3,600.000,205,telur,322,847,357,200.000
Minggu,6,2,500.000,328,susu,374,339,130,130.000
Selasa,16,8,600.000,465,susu,341,973,274,150.000
Selasa,22,9,700.000,171,beras,328,344,478,200.000
Senin,26,10,600.000,174,susu,304,174,456,100.000
Senin,27,11,600.000,154,gula,360,231,386,200.000
Selasa,2,1,400.000,428,gula,395,532,429,100.000
Jumat,22,4,1.000.000,158,susu,327,161,266,100.000
Kamis,22,5,1.000.000,344,beras,331,755,370,150.000
Sabtu,11,7,500.000,452,telur,342,619,253,100.000
Selasa,8,4,500.000,235,beras,347,324,187,100.000
Senin,2,3,700.000,131,snack,362,291,111,200.000
Kamis,28,9,600.000,255,snack,356,512,240,100.000
Minggu,18,8,600.000,129,beras,315,844,429,150.000
Rabu,19,4,500.000,243,snack,348,122,135,130.000
Rabu,8,10,600.000,156,snack,347,470,159,100.000
Rabu,22,7,400.000,170,beras,357,239,484,100.000
Rabu,9,10,600.000,307,susu,308,803,335,130.000
Jumat,14,4,700.000,426,snack,389,598,483,200.000
Selasa,21,7,500.000,159,telur,385,495,319,200.000
Sabtu,20,11,500.000,429,snack,381,784,448,200.000
Senin,7,9,400.000,202,gula,382,829,145,200.000
Rabu,19,0,600.000,156,snack,310,667,428,200.000
Senin,27,4,400.000,294,telur,367,734,122,200.000
Minggu,6,11,500.000,415,gula,344,863,351,150.000
Kamis,4,11,1.000.000,348,beras,387,128,180,200.000
Selasa,24,4,500.000,163,snack,340,919,257,130.000
Kamis,24,0,600.000,198,telur,383,557,382,150.000
Minggu,12,10,400.000,319,beras,314,539,146,130.000
Senin,1,10,1.000.000,439,gula,376,728,344,200.000
Kamis,4,8,600.000,316,beras,321,256,106,150.000
Selasa,15,3,700.000,349,beras,327,316,311,100.000
Kamis,20,4,600.000,143,susu,326,164,183,200.000
Kamis,24,6,1.000.000,438,susu,387,770,101,100.000
Selasa,28,0,500.000,375,telur,358,888,307,100.000
Sabtu,23,9,500.000,402,snack,377,933,340,130.000
Selasa,10,7,500.000,146,beras,396,307,255,200.000
Minggu,18,1,1.000.000,258,telur,305,800,301,150.000
Minggu,26,5,400.000,477,snack,312,444,253,100.000
Jumat,22,3,600.000,397,beras,356,217,254,100.000
Selasa,12,11,400.000,157,susu,343,652,132,200.000
Rabu,20,0,1.000.000,359,beras,353,19,329,100.000
Kamis,26,11,400.000,490,susu,304,454,150,150.000
Kamis,11,11,400.000,283,telur,343,16,346,100.000
Jumat,21,4,500.000,359,telur,388,569,439,200.000
Minggu,12,6,600.000,247,gula,339,903,132,200.000
Senin,15,1,400.000,416,telur,313,680,139,200.000
Rabu,18,1,400.000,304,beras,308,375,368,100.000
Senin,30,6,600.000,210,snack,361,594,292,150.000
Rabu,20,4,700.000,448,susu,386,842,143,150.000
Sabtu,2,1,500.000,431,susu,361,105,431,130.000
Rabu,4,6,400.000,352,snack,321,706,132,100.000
Senin,1,6,700.000,480,gula,386,13,309,150.000
Jumat,15,5,700.000,196,gula,347,19,366,100.000
Senin,7,2,400.000,219,susu,397,637,266,150.000
Jumat,24,8,500.000,410,telur,348,384,270,130.000
Jumat,11,8,700.000,433,telur,371,50,167,200.000
Jumat,29,7,400.000,108,telur,370,56,179,150.000
Minggu,27,9,600.000,229,telur,346,661,176,130.000
Sabtu,14,6,500.000,112,beras,360,316,230,200.000
Minggu,18,7,400.000,145,susu,374,645,391,130.000
Kamis,22,2,600.000,183,snack,381,116,270,100.000
Minggu,3,8,700.000,177,susu,320,744,294,130.000
Senin,26,10,1.000.000,246,telur,305,570,369,100.000
Sabtu,8,0,600.000,434,beras,358,54,274,100.000
Selasa,6,1,1.000.000,100,telur,368,465,398,200.000
Sabtu,8,1,500.000,359,telur,382,518,156,100.000
Rabu,4,11,400.000,363,beras,356,974,435,200.000
Rabu,4,0,600.000,388,beras,369,113,418,200.000
Jumat,11,8,400.000,355,beras,309,915,382,130.000
Sabtu,25,3,600.000,402,beras,329,602,260,100.000
Senin,23,10,600.000,395,telur,332,71,275,130.000
Kamis,17,2,400.000,461,susu,360,805,303,150.000
Rabu,13,6,700.000,100,beras,379,501,142,100.000
Jumat,9,4,700.000,326,telur,300,595,112,150.000
Selasa,24,9,700.000,247,telur,315,287,271,100.000
Kamis,2,3,1.000.000,131,telur,376,644,382,200.000
Selasa,5,11,1.000.000,385,beras,373,93,259,130.000
Kamis,18,0,1.000.000,263,beras,324,26,149,130.000
Jumat,13,7,500.000,239,beras,399,125,209,130.000
Jumat,30,7,600.000,338,snack,328,609,486,150.000
Minggu,5,4,500.000,318,gula,398,732,131,150.000
Sabtu,18,10,700.000,345,susu,376,117,148,200.000
Sabtu,16,10,600.000,478,gula,361,664,423,200.000
Senin,1,7,400.000,226,telur,339,53,404,100.000
Jumat,18,9,400.000,275,beras,369,120,499,130.000
Minggu,9,5,500.000,231,telur,333,263,421,130.000
Kamis,1,2,400.000,240,telur,378,238,152,100.000
Senin,3,4,700.000,353,susu,308,722,166,100.000
Senin,30,1,600.000,202,beras,379,638,249,200.000
Selasa,27,3,600.000,123,snack,383,190,371,200.000
Sabtu,29,7,600.000,459,gula,336,420,108,130.000
Jumat,16,9,600.000,160,snack,397,295,498,130.000
Rabu,4,4,1.000.000,239,snack,394,340,229,130.000
Kamis,6,10,700.000,459,susu,341,831,180,130.000
Sabtu,20,9,700.000,366,telur,354,651,414,200.000
Sabtu,27,0,1.000.000,103,beras,365,236,455,200.000
Minggu,28,9,500.000,298,susu,361,899,374,200.000
Kamis,13,9,600.000,107,susu,382,349,273,150.000
Selasa,5,5,400.000,294,gula,345,296,399,100.000
Senin,26,9,600.000,263,snack,335,476,344,100.000
Minggu,17,2,400.000,365,telur,344,443,154,130.000
Sabtu,12,2,600.000,264,gula,363,201,414,200.000
Jumat,24,3,700.000,420,beras,332,878,396,150.000
Kamis,29,11,700.000,499,susu,338,208,378,100.000
Kamis,28,11,600.000,479,gula,377,999,299,100.000
Kamis,20,1,500.000,394,snack,353,361,178,200.000
Jumat,9,8,400.000,289,gula,380,612,218,130.000
Sabtu,6,3,500.000,207,susu,329,441,370,130.000
Jumat,21,9,600.000,400,telur,394,719,138,200.000
Minggu,4,8,600.000,381,beras,345,282,153,150.000
Jumat,3,11,700.000,120,telur,379,922,426,130.000
Rabu,8,8,600.000,486,snack,393,984,305,130.000
Sabtu,17,1,700.000,291,beras,365,310,187,200.000
Kamis,6,1,1.000.000,210,gula,389,76,398,200.000
Jumat,18,0,400.000,108,beras,321,134,360,150.000
Kamis,15,6,1.000.000,423,snack,397,385,166,130.000
Sabtu,23,3,600.000,339,beras,303,316,446,150.000
Jumat,4,4,400.000,447,telur,322,204,437,130.000
Jumat,6,3,700.000,121,gula,371,924,305,150.000
Jumat,3,11,600.000,446,beras,305,381,304,150.000
Sabtu,5,2,400.000,315,gula,326,98,178,130.000
Selasa,25,2,400.000,343,gula,385,525,356,150.000
Jumat,1,5,500.000,377,susu,394,362,215,100.000
Jumat,8,11,1.000.000,380,beras,381,447,171,100.000
Senin,19,9,600.000,377,snack,330,500,482,100.000
Rabu,23,5,400.000,328,susu,363,24,315,130.000
Kamis,28,4,600.000,182,gula,372,350,427,200.000
Jumat,11,3,400.000,403,susu,395,952,498,150.000
Senin,6,7,600.000,127,susu,385,171,372,130.000
Rabu,2,4,500.000,386,beras,377,112,166,150.000
Minggu,19,5,600.000,311,susu,357,591,375,130.000
Minggu,14,8,600.000,353,beras,335,690,408,150.000
Sabtu,16,11,700.000,473,gula,342,925,290,100.000
Jumat,9,4,600.000,197,gula,393,777,370,130.000
Selasa,25,7,600.000,486,gula,356,849,244,150.000
Rabu,10,6,1.000.000,371,gula,371,476,355,130.000
Minggu,21,0,600.000,158,telur,385,223,190,200.000
Minggu,5,6,400.000,417,susu,352,746,315,100.000
Sabtu,3,5,500.000,316,telur,351,409,125,130.000
Rabu,23,5,700.000,162,telur,399,119,398,200.000
Minggu,30,8,700.000,127,gula,364,151,273,130.000
Sabtu,4,10,600.000,142,telur,384,34,125,100.000
Kamis,24,10,700.000,389,telur,390,480,292,100.000
Rabu,13,7,500.000,248,beras,386,946,266,130.000
Minggu,8,7,600.000,323,gula,350,717,173,200.000
Minggu,27,11,500.000,420,snack,307,227,318,150.000
Senin,23,10,1.000.000,159,beras,319,339,324,100.000
Jumat,4,3,700.000,497,susu,339,877,398,130.000
Kamis,1,5,1.000.000,239,susu,338,524,449,130.000
Jumat,2,3,400.000,127,telur,380,321,263,130.000
Selasa,3,7,600.000,239,telur,379,43,499,100.000
Jumat,3,5,700.000,482,snack,325,566,475,130.000
Sabtu,4,0,500.000,219,beras,312,87,261,130.000
Senin,28,3,600.000,475,susu,386,529,216,200.000
Selasa,21,4,600.000,225,snack,323,317,178,150.000
Senin,28,4,700.000,120,telur,316,156,244,150.000
Rabu,17,11,600.000,456,snack,378,542,392,130.000
Sabtu,30,10,600.000,430,beras,357,277,176,100.000
Jumat,17,9,700.000,351,telur,342,827,264,100.000
Jumat,13,5,500.000,257,beras,383,965,417,200.000
Jumat,1,0,500.000,210,susu,379,105,140,100.000
Kamis,10,11,400.000,259,snack,349,1,125,150.000
Jumat,15,2,400.000,178,telur,388,954,310,150.000
Minggu,3,8,1.000.000,356,susu,315,957,295,200.000
Sabtu,21,6,600.000,205,susu,314,834,433,100.000
Rabu,1,0,500.000,148,telur,353,706,366,150.000
Sabtu,28,11,600.000,355,susu,348,595,161,150.000
Senin,2,11,1.000.000,415,telur,328,251,141,130.000
Senin,8,5,1.000.000,311,telur,370,638,164,150.000
Rabu,1,4,500.000,239,beras,390,372,324,150.000
Senin,7,4,600.000,122,telur,386,418,338,150.000
Sabtu,24,9,600.000,395,beras,369,491,426,150.000
Jumat,16,6,400.000,229,telur,327,404,200,200.000
Selasa,23,9,600.000,421,snack,373,166,396,150.000
Kamis,1,3,600.000,352,telur,325,936,117,100.000
Kamis,29,9,700.000,286,susu,388,460,266,200.000
Rabu,12,9,700.000,110,susu,327,914,455,130.000
Jumat,8,1,500.000,367,susu,342,564,256,200.000
Rabu,30,8,600.000,166,beras,334,736,430,200.000
Sabtu,21,1,500.000,128,beras,340,556,113,100.000
Kamis,12,7,400.000,160,snack,325,836,295,200.000
Rabu,9,2,500.000,136,susu,336,313,415,200.000
Rabu,28,10,500.000,255,gula,388,85,281,100.000
Sabtu,30,6,700.000,297,telur,391,993,491,100.000
Kamis,12,11,700.000,163,snack,382,37,478,130.000
Minggu,1,5,400.000,457,snack,377,556,191,100.000
Senin,12,9,400.000,384,beras,317,979,209,200.000
Minggu,14,2,1.000.000,441,telur,324,230,427,100.000
Sabtu,20,5,1.000.000,174,beras,387,176,105,150.000
Minggu,29,5,400.000,110,snack,370,938,299,150.000
Senin,9,10,700.000,123,snack,306,418,308,130.000
Senin,23,4,1.000.000,309,gula,389,473,333,150.000
Kamis,1,3,1.000.000,257,susu,399,571,186,200.000
Minggu,15,2,600.000,291,telur,397,289,327,200.000
Senin,27,4,400.000,425,beras,330,690,325,200.000
Jumat,25,0,500.000,317,susu,324,43,429,100.000
Kamis,8,5,400.000,107,gula,355,861,181,100.000
Selasa,28,9,500.000,170,susu,334,575,420,200.000
Jumat,12,10,500.000,488,snack,394,768,141,130.000
Senin,26,2,500.000,414,susu,372,78,281,100.000
Senin,21,2,500.000,106,telur,331,374,270,130.000
Selasa,29,1,500.000,186,snack,388,942,346,100.000
Minggu,25,7,700.000,161,beras,354,240,461,100.000
Jumat,1,11,700.000,369,beras,336,524,207,100.000
Sabtu,4,8,1.000.000,123,snack,300,78,165,200.000
Minggu,22,10,500.000,490,snack,353,908,448,100.000
Selasa,21,9,1.000.000,389,gula,354,452,244,130.000
Senin,5,6,500.000,203,gula,329,979,435,130.000
Sabtu,2,10,600.000,249,telur,315,111,121,130.000
Jumat,1,10,700.000,109,telur,316,458,421,200.000
Rabu,14,3,1.000.000,138,telur,344,933,473,100.000
Selasa,21,5,600.000,125,beras,357,157,224,130.000
Rabu,6,6,400.000,191,susu,301,416,346,150.000
Selasa,22,10,600.000,374,beras,343,407,211,130.000
Sabtu,4,2,500.000,202,snack,390,647,193,150.000
Minggu,21,11,600.000,405,snack,327,170,262,200.000
Jumat,15,0,500.000,371,susu,386,646,262,150.000
Sabtu,21,11,700.000,163,snack,376,71,287,130.000
Jumat,18,2,500.000,297,gula,353,368,320,100.000
Kamis,23,1,1.000.000,265,gula,343,610,169,200.000
Sabtu,24,5,600.000,435,beras,373,7,296,130.000
Senin,26,1,1.000.000,451,telur,306,32,430,100.000
Senin,6,3,1.000.000,336,gula,325,868,433,100.000
Selasa,10,8,1.000.000,341,snack,369,791,234,130.000
Selasa,17,4,400.000,377,susu,338,143,159,130.000
Selasa,6,10,1.000.000,126,susu,363,972,278,100.000
Selasa,16,10,700.000,456,beras,394,533,454,130.000
Minggu,9,8,1.000.000,426,gula,342,290,255,100.000
Jumat,18,9,400.000,165,gula,308,766,209,130.000
Rabu,21,4,600.000,201,snack,320,196,361,100.000
Senin,20,5,500.000,153,susu,334,584,192,100.000
Minggu,6,11,1.000.000,341,susu,302,401,324,130.000
Jumat,18,6,500.000,132,telur,359,528,206,200.000
Rabu,12,6,600.000,341,telur,354,627,430,150.000
Sabtu,21,7,600.000,428,gula,374,8,423,130.000
Kamis,22,0,600.000,118,beras,344,264,233,200.000
Selasa,11,5,500.000,223,telur,337,427,311,130.000
Jumat,5,4,400.000,414,gula,315,483,136,130.000
Sabtu,16,3,600.000,427,telur,309,745,474,130.000
Jumat,23,6,1.000.000,201,gula,365,961,450,130.000
Minggu,19,9,600.000,299,susu,388,218,499,130.000
Minggu,16,11,700.000,366,snack,330,769,351,100.000
Senin,4,3,700.000,293,gula,332,524,289,100.000
Kamis,30,7,400.000,362,beras,302,587,233,200.000
Jumat,7,10,400.000,262,telur,301,990,284,100.000
Sabtu,3,9,400.000,136,snack,339,964,116,200.000
Minggu,9,4,600.000,427,beras,342,197,232,200.000
Rabu,25,2,400.000,491,snack,303,278,291,130.000
Jumat,4,8,400.000,406,susu,376,636,358,200.000
Jumat,12,11,700.000,320,beras,372,427,218,130.000
Senin,30,9,1.000.000,198,snack,370,762,388,130.000
Minggu,21,11,600.000,292,telur,392,387,370,130.000
Rabu,15,9,600.000,133,susu,357,85,401,100.000
Sabtu,1,2,1.000.000,295,telur,318,802,122,150.000
Minggu,17,2,600.000,244,susu,339,339,178,150.000
Rabu,9,6,500.000,296,gula,350,688,123,150.000
Sabtu,4,8,600.000,446,beras,330,80,403,130.000
Rabu,30,11,1.000.000,140,snack,347,474,226,150.000
Selasa,11,2,700.000,233,gula,363,652,366,150.000
Sabtu,18,3,1.000.000,479,susu,349,428,247,200.000
Jumat,22,1,1.000.000,379,susu,313,144,353,130.000
Jumat,22,7,600.000,401,gula,321,340,248,200.000
Selasa,25,0,1.000.000,110,snack,326,530,135,200.000
Jumat,1,9,600.000,371,snack,395,115,435,200.000
